Category,Order Date,Sub-Category,Sales
Furniture,12/16/2022,Chairs,81.568
Furniture,12/16/2022,Chairs,97.184
Furniture,12/28/2022,Chairs,340.704
Furniture,12/29/2022,Chairs,393.568
Furniture,11/11/2019,Chairs,603.92
Furniture,12/26/2019,Chairs,230.352
Furniture,10/25/2020,Chairs,582.336
Furniture,4/24/2021,Chairs,1325.76
Furniture,5/30/2021,Chairs,801.568
Furniture,6/17/2021,Chairs,483.136
Furniture,7/8/2021,Chairs,662.88
Furniture,7/18/2021,Chairs,544.008
Furniture,7/18/2021,Chairs,854.352
Furniture,9/12/2021,Chairs,466.768
Furniture,9/12/2021,Chairs,83.136
Furniture,10/10/2021,Chairs,120.784
Furniture,10/22/2022,Chairs,579.136
Furniture,12/2/2022,Chairs,906.68
Furniture,12/10/2019,Chairs,338.352
Furniture,11/14/2020,Chairs,230.352
Furniture,11/14/2020,Chairs,883.84
Furniture,9/10/2019,Chairs,1487.04
Furniture,10/5/2020,Chairs,291.168
Furniture,7/15/2021,Chairs,230.28
Furniture,11/4/2021,Chairs,104.784
Furniture,11/4/2021,Chairs,650.352
Furniture,11/21/2021,Chairs,195.136
Furniture,12/11/2021,Chairs,403.92
Furniture,10/21/2022,Chairs,478.48
Furniture,9/8/2019,Chairs,975.92
Furniture,12/8/2019,Chairs,603.92
Furniture,1/5/2020,Chairs,61.584
Furniture,7/25/2020,Chairs,561.568
Furniture,9/25/2020,Chairs,307.136
Furniture,12/1/2020,Chairs,2003.92
Furniture,1/30/2021,Chairs,435.168
Furniture,3/14/2021,Chairs,196.784
Furniture,3/22/2021,Chairs,167.888
Furniture,8/23/2021,Chairs,532.704
Furniture,9/2/2021,Chairs,215.976
Furniture,9/17/2021,Chairs,113.888
Furniture,9/23/2021,Chairs,184.752
Furniture,12/25/2021,Chairs,698.352
Furniture,2/11/2022,Chairs,963.136
Furniture,5/15/2022,Chairs,42.624
Furniture,5/15/2022,Chairs,220.96
Furniture,6/13/2022,Chairs,291.136
Furniture,8/21/2022,Chairs,388.704
Furniture,8/31/2022,Chairs,569.568
Furniture,9/2/2022,Chairs,215.976
Furniture,9/11/2022,Chairs,177.568
Furniture,10/1/2022,Chairs,451.152
Furniture,10/30/2022,Chairs,97.568
Furniture,10/30/2022,Chairs,614.272
Furniture,11/3/2022,Chairs,307.136
Furniture,11/6/2022,Chairs,449.568
Furniture,11/13/2022,Chairs,2404.704
Furniture,11/7/2021,Chairs,1603.136
Furniture,10/5/2019,Furnishings,72.9
Furniture,3/13/2020,Furnishings,327.76
Furniture,3/13/2021,Furnishings,327.76
Furniture,3/13/2022,Furnishings,327.76
Furniture,10/5/2022,Furnishings,39.92
Furniture,10/10/2019,Furnishings,46.872
Furniture,12/13/2019,Furnishings,87.96
Furniture,12/20/2019,Furnishings,51.968
Furniture,6/15/2020,Furnishings,40.256
Furniture,6/15/2020,Furnishings,364.704
Furniture,6/18/2020,Furnishings,75.36
Furniture,6/28/2020,Furnishings,621.76
Furniture,9/3/2020,Furnishings,238.152
Furniture,12/6/2020,Furnishings,206.112
Furniture,12/20/2020,Furnishings,14.368
Furniture,12/24/2020,Furnishings,7.712
Furniture,2/4/2021,Furnishings,14.368
Furniture,4/22/2021,Furnishings,23.56
Furniture,4/30/2021,Furnishings,111.888
Furniture,10/9/2021,Furnishings,169.568
Furniture,2/20/2022,Furnishings,68.704
Furniture,8/27/2022,Furnishings,120.576
Furniture,11/12/2022,Furnishings,113.568
Furniture,12/24/2022,Furnishings,8.544
Furniture,12/4/2019,Furnishings,25.08
Furniture,12/20/2019,Furnishings,94.2
Furniture,12/4/2020,Furnishings,361.764
Furniture,12/4/2021,Furnishings,25.08
Furniture,5/20/2022,Furnishings,6.98
Furniture,12/4/2022,Furnishings,25.08
Furniture,12/20/2022,Furnishings,6.984
Furniture,9/6/2019,Furnishings,41.88
Furniture,9/11/2019,Furnishings,127.95
Furniture,9/29/2019,Furnishings,204.6
Furniture,11/4/2019,Furnishings,35.34
Furniture,11/5/2019,Furnishings,20.04
Furniture,11/10/2019,Furnishings,39.88
Furniture,11/10/2019,Furnishings,53.2
Furniture,11/15/2019,Furnishings,10.11
Furniture,11/24/2019,Furnishings,151.72
Furniture,11/25/2019,Furnishings,23.88
Furniture,12/1/2019,Furnishings,58.2
Furniture,12/8/2019,Furnishings,39.88
Furniture,12/8/2019,Furnishings,79.44
Furniture,12/12/2019,Furnishings,9.24
Furniture,12/12/2019,Furnishings,12.54
Furniture,12/12/2019,Furnishings,43.31
Furniture,12/15/2019,Furnishings,6.16
Furniture,12/16/2019,Furnishings,44.46
Furniture,12/24/2019,Furnishings,23.99
Furniture,12/26/2019,Furnishings,3.48
Furniture,12/29/2019,Furnishings,24.9
Furniture,12/29/2019,Furnishings,70.56
Furniture,1/13/2020,Furnishings,77.6
Furniture,1/13/2020,Furnishings,464.85
Furniture,1/30/2020,Furnishings,227.36
Furniture,2/3/2020,Furnishings,136.92
Furniture,3/6/2020,Furnishings,435.26
Furniture,3/13/2020,Furnishings,327.76
Furniture,3/16/2020,Furnishings,43.13
Furniture,3/22/2020,Furnishings,91.96
Furniture,3/29/2020,Furnishings,19.92
Furniture,4/13/2020,Furnishings,37.68
Furniture,5/3/2020,Furnishings,665.88
Furniture,5/14/2020,Furnishings,122.91
Furniture,5/25/2020,Furnishings,14.73
Furniture,6/19/2020,Furnishings,12.56
Furniture,6/20/2020,Furnishings,257.64
Furniture,6/25/2020,Furnishings,204.85
Furniture,7/30/2020,Furnishings,5.28
Furniture,8/13/2020,Furnishings,31.56
Furniture,8/15/2020,Furnishings,104.23
Furniture,8/28/2020,Furnishings,4.16
Furniture,9/10/2020,Furnishings,106.68
Furniture,9/13/2020,Furnishings,44.67
Furniture,9/13/2020,Furnishings,131.88
Furniture,9/13/2020,Furnishings,207.35
Furniture,9/18/2020,Furnishings,24.4
Furniture,9/19/2020,Furnishings,60.84
Furniture,9/22/2020,Furnishings,204.6
Furniture,9/24/2020,Furnishings,14.91
Furniture,10/8/2020,Furnishings,145.9
Furniture,10/20/2020,Furnishings,74.76
Furniture,10/20/2020,Furnishings,16.02
Furniture,11/2/2020,Furnishings,96.96
Furniture,11/3/2020,Furnishings,42.6
Furniture,11/17/2020,Furnishings,36.6
Furniture,11/17/2020,Furnishings,80.96
Furniture,11/20/2020,Furnishings,32.04
Furniture,11/24/2020,Furnishings,79.76
Furniture,12/4/2020,Furnishings,36.4
Furniture,12/4/2020,Furnishings,25.08
Furniture,12/5/2020,Furnishings,44.46
Furniture,12/7/2020,Furnishings,79.92
Furniture,12/12/2020,Furnishings,166.5
Furniture,12/14/2020,Furnishings,29.22
Furniture,12/14/2020,Furnishings,15.24
Furniture,1/23/2021,Furnishings,59.99
Furniture,3/3/2021,Furnishings,35.28
Furniture,3/13/2021,Furnishings,28.28
Furniture,4/8/2021,Furnishings,24.7
Furniture,4/22/2021,Furnishings,31.56
Furniture,5/6/2021,Furnishings,41.6
Furniture,5/16/2021,Furnishings,282.84
Furniture,5/20/2021,Furnishings,1049.2
Furniture,5/23/2021,Furnishings,37.05
Furniture,5/30/2021,Furnishings,167.84
Furniture,6/14/2021,Furnishings,8.73
Furniture,6/26/2021,Furnishings,22.14
Furniture,7/4/2021,Furnishings,25.4
Furniture,7/7/2021,Furnishings,215.65
Furniture,7/14/2021,Furnishings,30.8
Furniture,7/25/2021,Furnishings,69.3
Furniture,7/25/2021,Furnishings,255.76
Furniture,8/15/2021,Furnishings,312.03
Furniture,8/30/2021,Furnishings,47.04
Furniture,9/2/2021,Furnishings,94.68
Furniture,9/4/2021,Furnishings,24.27
Furniture,9/24/2021,Furnishings,63.2
Furniture,10/13/2021,Furnishings,43.12
Furniture,10/21/2021,Furnishings,19.96
Furniture,11/4/2021,Furnishings,38.29
Furniture,11/6/2021,Furnishings,238.56
Furniture,11/7/2021,Furnishings,14.82
Furniture,11/10/2021,Furnishings,467.46
Furniture,11/10/2021,Furnishings,9.98
Furniture,11/11/2021,Furnishings,41.96
Furniture,11/11/2021,Furnishings,6.96
Furniture,11/24/2021,Furnishings,9.94
Furniture,11/26/2021,Furnishings,595.38
Furniture,12/1/2021,Furnishings,16.74
Furniture,12/1/2021,Furnishings,31.96
Furniture,12/2/2021,Furnishings,14.52
Furniture,12/3/2021,Furnishings,111.9
Furniture,12/12/2021,Furnishings,383.64
Furniture,12/15/2021,Furnishings,14.76
Furniture,12/18/2021,Furnishings,39.92
Furniture,12/18/2021,Furnishings,183.84
Furniture,12/22/2021,Furnishings,41.96
Furniture,12/22/2021,Furnishings,842.72
Furniture,12/24/2021,Furnishings,43.96
Furniture,1/1/2022,Furnishings,474.43
Furniture,1/16/2022,Furnishings,27.92
Furniture,1/28/2022,Furnishings,37.74
Furniture,2/2/2022,Furnishings,210.58
Furniture,2/2/2022,Furnishings,86.26
Furniture,2/9/2022,Furnishings,21.12
Furniture,2/19/2022,Furnishings,44.67
Furniture,2/20/2022,Furnishings,22.23
Furniture,2/26/2022,Furnishings,91.96
Furniture,3/19/2022,Furnishings,30.93
Furniture,3/23/2022,Furnishings,211.84
Furniture,3/28/2022,Furnishings,21.56
Furniture,3/28/2022,Furnishings,26.48
Furniture,3/30/2022,Furnishings,94.2
Furniture,4/2/2022,Furnishings,25.11
Furniture,4/22/2022,Furnishings,18.28
Furniture,4/23/2022,Furnishings,24.14
Furniture,4/23/2022,Furnishings,66.36
Furniture,4/30/2022,Furnishings,64.96
Furniture,5/14/2022,Furnishings,18.28
Furniture,5/20/2022,Furnishings,6.98
Furniture,6/6/2022,Furnishings,4.95
Furniture,6/19/2022,Furnishings,50.32
Furniture,7/3/2022,Furnishings,129.39
Furniture,7/8/2022,Furnishings,145.9
Furniture,7/14/2022,Furnishings,18.84
Furniture,7/14/2022,Furnishings,276.69
Furniture,7/31/2022,Furnishings,36.96
Furniture,8/3/2022,Furnishings,123.96
Furniture,8/7/2022,Furnishings,51.75
Furniture,8/12/2022,Furnishings,54.92
Furniture,8/21/2022,Furnishings,129.92
Furniture,8/27/2022,Furnishings,198.46
Furniture,8/29/2022,Furnishings,148.02
Furniture,9/2/2022,Furnishings,511.5
Furniture,9/7/2022,Furnishings,19.76
Furniture,9/7/2022,Furnishings,47.94
Furniture,9/11/2022,Furnishings,32.36
Furniture,9/12/2022,Furnishings,8.36
Furniture,9/15/2022,Furnishings,529.9
Furniture,9/26/2022,Furnishings,9.24
Furniture,9/28/2022,Furnishings,9.24
Furniture,9/29/2022,Furnishings,51.75
Furniture,10/2/2022,Furnishings,17.46
Furniture,10/5/2022,Furnishings,72.9
Furniture,10/14/2022,Furnishings,9.46
Furniture,10/15/2022,Furnishings,22.72
Furniture,10/19/2022,Furnishings,30.56
Furniture,11/2/2022,Furnishings,25.02
Furniture,11/6/2022,Furnishings,8.73
Furniture,11/9/2022,Furnishings,47.12
Furniture,11/11/2022,Furnishings,34.92
Furniture,11/16/2022,Furnishings,17.31
Furniture,11/16/2022,Furnishings,12.42
Furniture,11/16/2022,Furnishings,119.94
Furniture,11/19/2022,Furnishings,18.7
Furniture,11/20/2022,Furnishings,42.6
Furniture,11/27/2022,Furnishings,18.84
Furniture,11/30/2022,Furnishings,25.83
Furniture,12/1/2022,Furnishings,629.64
Furniture,12/8/2022,Furnishings,128.9
Furniture,12/13/2022,Furnishings,201.04
Furniture,12/14/2022,Furnishings,26.25
Furniture,12/16/2022,Furnishings,18.96
Furniture,12/29/2022,Furnishings,101.12
Furniture,12/26/2019,Furnishings,218.352
Furniture,12/26/2019,Furnishings,300.416
Furniture,9/11/2020,Furnishings,24.64
Furniture,10/30/2020,Furnishings,15.488
Furniture,11/13/2020,Furnishings,102.36
Furniture,12/11/2020,Furnishings,52.416
Furniture,12/11/2020,Furnishings,54.92
Furniture,6/17/2021,Furnishings,266.352
Furniture,8/22/2021,Furnishings,98.328
Furniture,9/12/2021,Furnishings,15.136
Furniture,9/12/2021,Furnishings,15.232
Furniture,9/22/2021,Furnishings,68.432
Furniture,9/24/2021,Furnishings,21.44
Furniture,10/13/2021,Furnishings,24.96
Furniture,4/23/2022,Furnishings,11.664
Furniture,8/21/2022,Furnishings,22.752
Furniture,9/23/2022,Furnishings,29.328
Furniture,9/28/2022,Furnishings,32.776
Furniture,12/2/2022,Furnishings,508.704
Furniture,12/3/2022,Furnishings,16.192
Furniture,12/3/2022,Furnishings,16.72
Furniture,12/3/2022,Furnishings,23.376
Furniture,12/19/2022,Furnishings,13.36
Furniture,6/9/2020,Furnishings,355.36
Furniture,5/27/2022,Furnishings,35
Furniture,10/6/2022,Furnishings,41.96
Furniture,11/13/2020,Furnishings,63.98
Furniture,11/30/2020,Furnishings,80.96
Furniture,4/15/2022,Furnishings,196.45
Furniture,7/3/2022,Furnishings,545.85
Furniture,11/3/2022,Furnishings,41.37
Furniture,10/2/2020,Furnishings,11.032
Furniture,12/22/2021,Furnishings,11.84
Furniture,12/22/2021,Furnishings,22.784
Furniture,5/30/2022,Furnishings,13.592
Furniture,9/19/2022,Furnishings,409.216
Furniture,9/22/2021,Furnishings,63.968
Furniture,9/22/2022,Furnishings,68.43
Furniture,11/8/2020,Furnishings,66.69
Furniture,9/7/2022,Furnishings,25.16
Furniture,9/13/2019,Furnishings,14.19
Furniture,9/17/2019,Furnishings,35.34
Furniture,9/29/2019,Furnishings,6.16
Furniture,10/11/2019,Furnishings,63.47
Furniture,10/26/2019,Furnishings,63.92
Furniture,11/18/2019,Furnishings,137.54
Furniture,3/24/2020,Furnishings,46.9
Furniture,5/26/2020,Furnishings,20.24
Furniture,9/6/2020,Furnishings,191.82
Furniture,10/18/2020,Furnishings,10.11
Furniture,11/19/2020,Furnishings,141.96
Furniture,11/20/2020,Furnishings,22.14
Furniture,1/10/2021,Furnishings,79.92
Furniture,1/10/2021,Furnishings,24.85
Furniture,1/22/2021,Furnishings,109.9
Furniture,7/4/2021,Furnishings,25.4
Furniture,7/17/2021,Furnishings,12.42
Furniture,7/17/2021,Furnishings,24.75
Furniture,9/8/2021,Furnishings,43.13
Furniture,10/22/2021,Furnishings,101.94
Furniture,11/4/2021,Furnishings,209.88
Furniture,11/13/2021,Furnishings,19.54
Furniture,11/13/2021,Furnishings,4.18
Furniture,11/19/2021,Furnishings,31.96
Furniture,11/24/2021,Furnishings,82.26
Furniture,12/11/2021,Furnishings,14.8
Furniture,2/13/2022,Furnishings,107.53
Furniture,3/21/2022,Furnishings,22.14
Furniture,4/21/2022,Furnishings,162.6
Furniture,4/27/2022,Furnishings,139.58
Furniture,5/15/2022,Furnishings,39.96
Furniture,6/17/2022,Furnishings,155.25
Furniture,6/27/2022,Furnishings,126.3
Furniture,7/8/2022,Furnishings,198.46
Furniture,7/8/2022,Furnishings,15.84
Furniture,7/27/2022,Furnishings,23.88
Furniture,8/18/2022,Furnishings,65.94
Furniture,9/7/2022,Furnishings,80.96
Furniture,9/24/2022,Furnishings,199.8
Furniture,10/30/2022,Furnishings,9.64
Furniture,11/16/2022,Furnishings,139.92
Furniture,12/1/2022,Furnishings,70.68
Furniture,12/5/2022,Furnishings,199.9
Furniture,12/15/2022,Furnishings,22.77
Furniture,12/28/2022,Furnishings,7.4
Furniture,12/29/2022,Furnishings,68.46
Furniture,10/5/2019,Tables,206.35
Furniture,10/5/2022,Tables,61.96
Furniture,9/19/2019,Tables,73.915
Furniture,7/26/2020,Tables,393.165
Furniture,4/22/2021,Tables,1272.63
Furniture,9/25/2021,Tables,393.165
Furniture,12/19/2021,Tables,455.97
Furniture,12/25/2021,Tables,35.445
Furniture,2/20/2022,Tables,386.91
Furniture,7/18/2022,Tables,801.6
Furniture,12/22/2022,Tables,182.55
Furniture,10/3/2019,Tables,143.432
Furniture,11/4/2019,Tables,573.728
Furniture,11/12/2019,Tables,629.064
Furniture,12/12/2019,Tables,764.688
Furniture,12/12/2019,Tables,3610.848
Furniture,2/18/2020,Tables,35.544
Furniture,4/9/2020,Tables,369.912
Furniture,4/13/2020,Tables,241.568
Furniture,4/13/2020,Tables,710.832
Furniture,8/1/2020,Tables,1004.976
Furniture,9/14/2020,Tables,170.136
Furniture,10/20/2020,Tables,364.776
Furniture,10/25/2020,Tables,253.176
Furniture,11/2/2020,Tables,1038.84
Furniture,12/14/2020,Tables,273.568
Furniture,2/5/2021,Tables,557.728
Furniture,5/5/2021,Tables,71.088
Furniture,5/5/2021,Tables,298.776
Furniture,6/3/2021,Tables,71.088
Furniture,6/10/2021,Tables,1335.68
Furniture,6/11/2021,Tables,902.712
Furniture,6/14/2021,Tables,1293.488
Furniture,7/31/2021,Tables,863.128
Furniture,8/2/2021,Tables,136.464
Furniture,8/8/2021,Tables,513.024
Furniture,8/16/2021,Tables,161.28
Furniture,8/21/2021,Tables,2887.056
Furniture,9/2/2021,Tables,568.728
Furniture,9/8/2021,Tables,146.04
Furniture,11/12/2021,Tables,674.352
Furniture,12/3/2021,Tables,268.704
Furniture,12/8/2021,Tables,1421.664
Furniture,12/11/2021,Tables,892.136
Furniture,12/13/2021,Tables,1114.272
Furniture,12/17/2021,Tables,2003.52
Furniture,12/26/2021,Tables,902.712
Furniture,1/16/2022,Tables,399.672
Furniture,3/3/2022,Tables,399.672
Furniture,3/19/2022,Tables,697.16
Furniture,5/4/2022,Tables,300.904
Furniture,5/12/2022,Tables,285.48
Furniture,5/23/2022,Tables,171.288
Furniture,8/14/2022,Tables,418.296
Furniture,8/21/2022,Tables,568.728
Furniture,8/22/2022,Tables,210.008
Furniture,9/2/2022,Tables,236.528
Furniture,9/4/2022,Tables,1322.352
Furniture,9/4/2022,Tables,1478.272
Furniture,9/15/2022,Tables,300.904
Furniture,10/3/2022,Tables,171.288
Furniture,10/5/2022,Tables,206.352
Furniture,10/15/2022,Tables,510.24
Furniture,10/19/2022,Tables,24.368
Furniture,10/27/2022,Tables,189.576
Furniture,11/3/2022,Tables,1673.184
Furniture,11/3/2022,Tables,486.368
Furniture,11/24/2022,Tables,71.088
Furniture,11/24/2022,Tables,364.08
Furniture,12/8/2022,Tables,1004.024
Furniture,12/9/2022,Tables,896.328
Furniture,11/18/2019,Tables,145.98
Furniture,12/11/2020,Tables,364.95
Furniture,10/13/2021,Tables,727.45
Furniture,11/16/2020,Tables,696.42
Furniture,9/15/2021,Tables,1128.39
Furniture,5/5/2021,Tables,1685.88
Furniture,12/10/2022,Tables,1669.6
Furniture,12/6/2019,Tables,275.49
Furniture,8/2/2020,Tables,277.5
Furniture,12/15/2021,Tables,564.195
Furniture,12/18/2021,Tables,377.45
Furniture,10/22/2022,Tables,177.225
Furniture,9/14/2020,Tables,912.75
Furniture,9/25/2020,Tables,1044.63
Furniture,9/29/2019,Tables,2348.82
Furniture,10/13/2019,Tables,1298.55
Furniture,11/18/2019,Tables,730.2
Furniture,3/2/2020,Tables,787.53
Furniture,3/16/2020,Tables,171.96
Furniture,3/26/2020,Tables,3393.68
Furniture,12/1/2020,Tables,1913.4
Furniture,12/21/2020,Tables,1618.37
Furniture,6/14/2021,Tables,1115.17
Furniture,12/25/2021,Tables,1747.25
Furniture,1/8/2022,Tables,892.98
Furniture,5/9/2022,Tables,286.85
Furniture,6/25/2022,Tables,871.4
Furniture,8/28/2022,Tables,1137.75
Furniture,9/1/2022,Tables,283.56
Furniture,11/1/2022,Tables,2665.62
Furniture,11/6/2022,Tables,2036.86
Furniture,11/21/2022,Tables,70.98
Furniture,12/3/2022,Tables,521.96
Office Supplies,9/14/2019,Appliances,52.448
Office Supplies,12/2/2019,Appliances,2.394
Office Supplies,12/6/2019,Appliances,14.016
Office Supplies,12/9/2019,Appliances,20.388
Office Supplies,3/5/2020,Appliances,180.98
Office Supplies,5/10/2020,Appliances,70.97
Office Supplies,5/21/2020,Appliances,20.768
Office Supplies,6/8/2020,Appliances,143.128
Office Supplies,8/23/2020,Appliances,5.768
Office Supplies,12/10/2020,Appliances,53.088
Office Supplies,2/16/2021,Appliances,92.064
Office Supplies,3/6/2021,Appliances,2.334
Office Supplies,4/21/2021,Appliances,48.792
Office Supplies,5/3/2021,Appliances,26.406
Office Supplies,12/9/2021,Appliances,4.356
Office Supplies,7/9/2022,Appliances,58.464
Office Supplies,9/2/2022,Appliances,5.588
Office Supplies,9/23/2022,Appliances,73.176
Office Supplies,10/21/2022,Appliances,23.992
Office Supplies,12/23/2019,Appliances,207.24
Office Supplies,3/5/2020,Appliances,60.69
Office Supplies,11/21/2020,Appliances,19.75
Office Supplies,11/12/2021,Appliances,37.68
Office Supplies,11/19/2021,Appliances,54.96
Office Supplies,5/29/2022,Appliances,465.16
Office Supplies,6/1/2022,Appliances,2405.2
Office Supplies,8/31/2022,Appliances,638.73
Office Supplies,12/5/2022,Appliances,61.44
Office Supplies,12/30/2022,Appliances,209.3
Office Supplies,12/29/2021,Appliances,81.96
Office Supplies,4/4/2020,Appliances,644.076
Office Supplies,4/28/2020,Appliances,186.732
Office Supplies,5/23/2020,Appliances,850.5
Office Supplies,10/9/2020,Appliances,29.403
Office Supplies,10/9/2020,Appliances,269.91
Office Supplies,11/11/2020,Appliances,123.858
Office Supplies,11/29/2020,Appliances,555.21
Office Supplies,3/8/2021,Appliances,207.144
Office Supplies,7/31/2021,Appliances,283.14
Office Supplies,9/1/2021,Appliances,376.74
Office Supplies,11/27/2021,Appliances,167.292
Office Supplies,12/9/2021,Appliances,61.929
Office Supplies,5/7/2022,Appliances,87.444
Office Supplies,11/10/2020,Appliances,715.64
Office Supplies,9/6/2021,Appliances,77.88
Office Supplies,2/13/2022,Appliances,90.64
Office Supplies,6/29/2022,Appliances,362.94
Office Supplies,5/6/2021,Appliances,54.48
Office Supplies,10/17/2021,Appliances,1927.59
Office Supplies,5/18/2022,Appliances,706.86
Office Supplies,9/10/2022,Appliances,24.18
Office Supplies,9/10/2022,Appliances,33.99
Office Supplies,11/2/2022,Appliances,83.9
Office Supplies,12/22/2022,Appliances,839.43
Office Supplies,9/21/2019,Appliances,25.96
Office Supplies,9/21/2019,Appliances,36.27
Office Supplies,9/13/2021,Appliances,378
Office Supplies,12/9/2021,Appliances,60.34
Office Supplies,10/15/2021,Appliances,868.59
Office Supplies,2/20/2022,Appliances,13.11
Office Supplies,7/29/2022,Appliances,137.62
Office Supplies,7/20/2022,Appliances,416.32
Office Supplies,9/8/2019,Appliances,177.98
Office Supplies,10/14/2019,Appliances,3.16
Office Supplies,11/23/2019,Appliances,34.176
Office Supplies,12/20/2019,Appliances,19.432
Office Supplies,4/2/2020,Appliances,32.192
Office Supplies,4/7/2020,Appliances,463.248
Office Supplies,4/19/2020,Appliances,19.568
Office Supplies,4/28/2020,Appliances,8.652
Office Supplies,7/2/2020,Appliances,32.784
Office Supplies,7/9/2020,Appliances,48.632
Office Supplies,10/18/2020,Appliances,73.164
Office Supplies,11/21/2020,Appliances,24.588
Office Supplies,11/22/2020,Appliances,68.81
Office Supplies,5/9/2021,Appliances,48.784
Office Supplies,6/12/2021,Appliances,64.384
Office Supplies,6/24/2021,Appliances,8.712
Office Supplies,8/13/2021,Appliances,58.924
Office Supplies,9/5/2021,Appliances,62.79
Office Supplies,9/26/2021,Appliances,93.032
Office Supplies,12/1/2021,Appliances,11.648
Office Supplies,1/1/2022,Appliances,15.224
Office Supplies,1/2/2022,Appliances,5.432
Office Supplies,2/9/2022,Appliances,12.992
Office Supplies,3/18/2022,Appliances,2.688
Office Supplies,3/26/2022,Appliances,87.168
Office Supplies,3/31/2022,Appliances,33.62
Office Supplies,4/21/2022,Appliances,97.264
Office Supplies,5/23/2022,Appliances,18.32
Office Supplies,6/8/2022,Appliances,1.624
Office Supplies,6/19/2022,Appliances,0.444
Office Supplies,6/19/2022,Appliances,2.264
Office Supplies,6/29/2022,Appliances,21.392
Office Supplies,8/17/2022,Appliances,38.864
Office Supplies,9/11/2022,Appliances,1.556
Office Supplies,10/2/2022,Appliances,15.224
Office Supplies,10/2/2022,Appliances,21.984
Office Supplies,11/13/2022,Appliances,9.324
Office Supplies,11/24/2022,Appliances,13.762
Office Supplies,11/25/2022,Appliances,67.84
Office Supplies,12/2/2022,Appliances,294.62
Office Supplies,12/11/2022,Appliances,1.392
Office Supplies,12/17/2022,Appliances,66.284
Office Supplies,12/23/2022,Appliances,29.312
Office Supplies,11/7/2019,Appliances,245.88
Office Supplies,4/25/2020,Appliances,272.4
Office Supplies,2/22/2021,Appliances,490.32
Office Supplies,5/30/2021,Appliances,364.74
Office Supplies,7/31/2022,Appliances,155.88
Office Supplies,8/28/2022,Appliances,91.6
Office Supplies,12/8/2022,Appliances,1089.75
Office Supplies,5/10/2020,Art,36.784
Office Supplies,7/12/2020,Art,6.912
Office Supplies,9/25/2020,Art,128.744
Office Supplies,10/10/2020,Art,8.016
Office Supplies,12/17/2020,Art,13.12
Office Supplies,12/21/2020,Art,59.904
Office Supplies,3/21/2021,Art,13.392
Office Supplies,4/10/2021,Art,13.568
Office Supplies,5/3/2021,Art,27.384
Office Supplies,6/4/2021,Art,7.408
Office Supplies,6/26/2021,Art,5.304
Office Supplies,10/11/2021,Art,5.344
Office Supplies,10/11/2021,Art,27.72
Office Supplies,11/11/2021,Art,14.112
Office Supplies,12/5/2021,Art,3.536
Office Supplies,1/22/2022,Art,7.872
Office Supplies,1/30/2022,Art,9.344
Office Supplies,2/16/2022,Art,28.032
Office Supplies,3/13/2022,Art,19.456
Office Supplies,3/13/2022,Art,29.76
Office Supplies,4/3/2022,Art,7.056
Office Supplies,4/16/2022,Art,16.52
Office Supplies,4/20/2022,Art,15.76
Office Supplies,5/6/2022,Art,6.408
Office Supplies,6/15/2022,Art,19.56
Office Supplies,7/9/2022,Art,8.84
Office Supplies,7/16/2022,Art,2.912
Office Supplies,7/23/2022,Art,121.536
Office Supplies,9/4/2022,Art,6.912
Office Supplies,10/6/2022,Art,19.152
Office Supplies,10/27/2022,Art,7.056
Office Supplies,11/2/2022,Art,54.336
Office Supplies,12/14/2022,Art,95.232
Office Supplies,12/15/2022,Art,10.192
Office Supplies,3/2/2020,Art,10.16
Office Supplies,5/4/2020,Art,125.93
Office Supplies,9/15/2020,Art,24.32
Office Supplies,11/21/2020,Art,10.92
Office Supplies,5/19/2021,Art,21.4
Office Supplies,9/17/2021,Art,33.4
Office Supplies,9/29/2021,Art,40.88
Office Supplies,10/2/2021,Art,33.96
Office Supplies,11/5/2021,Art,39.68
Office Supplies,11/12/2021,Art,20.58
Office Supplies,7/23/2022,Art,11.68
Office Supplies,11/3/2021,Art,75.96
Office Supplies,1/30/2022,Art,40.3
Office Supplies,7/11/2022,Art,30.32
Office Supplies,2/8/2020,Art,5.76
Office Supplies,5/25/2020,Art,21.24
Office Supplies,9/5/2021,Art,107.94
Office Supplies,11/2/2022,Art,27.78
Office Supplies,11/10/2019,Art,3.9
Office Supplies,11/24/2019,Art,151.92
Office Supplies,12/30/2019,Art,9.84
Office Supplies,2/22/2020,Art,79.36
Office Supplies,8/9/2020,Art,2.2
Office Supplies,9/21/2020,Art,25.99
Office Supplies,9/27/2020,Art,16.4
Office Supplies,11/29/2020,Art,161.82
Office Supplies,12/1/2020,Art,3.64
Office Supplies,12/10/2020,Art,3.9
Office Supplies,12/25/2020,Art,3.28
Office Supplies,3/8/2021,Art,13.9
Office Supplies,7/22/2021,Art,29.2
Office Supplies,8/26/2021,Art,8.64
Office Supplies,9/1/2021,Art,11.96
Office Supplies,10/30/2021,Art,11.68
Office Supplies,12/12/2021,Art,13.9
Office Supplies,6/26/2022,Art,15.92
Office Supplies,10/2/2022,Art,56.98
Office Supplies,11/11/2022,Art,181.86
Office Supplies,12/9/2022,Art,34.7
Office Supplies,8/10/2020,Art,29.79
Office Supplies,6/4/2022,Art,8.64
Office Supplies,11/6/2022,Art,13.9
Office Supplies,11/20/2022,Art,22
Office Supplies,12/4/2022,Art,8.8
